Source,Target,Weight
141,5035,3
141,21301,5
141,3576,3
141,9938,3
141,1211,4
141,15505,5
141,233,2
141,19020,5
141,14090,9
141,19495,6
141,8439,10
141,3449,3
141,16754,2
141,4296,1
141,13798,8
144,10661,1
144,13714,3
144,14267,5
144,21392,5
144,8840,4
145,7646,4
145,12472,1
145,12928,1
145,2754,3
145,10443,3
145,15947,2
145,12742,3
145,15321,4
145,15399,3
145,4687,2
145,10980,1
145,18819,3
145,2612,1
145,14503,4
145,3465,3
146,17110,4
146,18022,3
151,526,3
151,4186,4
151,12031,5
151,10499,3
151,19946,5
151,959,2
151,20012,3
151,19038,6
151,4887,7
151,3212,4
151,19731,5
151,3766,4
151,10540,6
152,5156,6
152,5719,3
152,6298,4
152,8936,2
153,19372,3
153,18921,1
153,3906,2
153,4172,6
153,20542,4
153,2689,4
155,594,1
155,6710,2
155,6892,6
155,15714,5
155,6939,6
155,7979,4
155,8647,2
155,15183,2
155,16184,3
155,16091,3
155,22162,4
156,9652,2
156,6466,2
156,3906,7
156,17056,3
156,22237,8
156,21206,2
156,16001,3
156,7091,6
156,11719,2
156,13175,6
156,8335,7
156,5122,4
161,13616,4
175,8432,3
175,9695,2
175,2725,1
175,9428,3
175,4989,2
176,7308,5
176,18727,3
176,7093,4
176,6420,4
176,15586,2
176,9990,2
176,14521,1
176,8249,4
176,20068,5
176,9301,2
176,6358,7
176,6820,1
176,16641,5
176,13657,2
176,15867,2
176,2449,2
176,10481,3
176,13698,4
176,8941,5
176,2625,1
176,13102,3
176,9471,1
176,5049,8
176,3956,3
176,20031,3
176,10639,2
176,21946,2
176,6203,3
176,13756,2
176,1627,2
176,7642,3
176,10469,2
176,14218,2
176,17190,1
176,894,2
176,15005,1
176,3934,3
176,1985,3
176,5629,1
176,9060,1
176,16529,6
178,14787,4
178,5351,5
180,3032,4
180,17358,2
180,5332,5
180,18488,1
180,4256,4
180,4472,3
180,13779,5
180,18944,2
180,6502,2
180,14910,3
180,14187,5
180,5596,5
185,1886,5
185,17126,8
185,12078,8
185,11536,10
185,19264,3
185,1148,11
185,7880,5
185,11494,4
185,17476,8
185,18115,11
185,2554,9
185,4879,8
185,16864,11
186,1168,1
186,15929,1
186,19933,1
186,10497,3
186,5983,4
186,7375,1
186,827,3
186,20820,1
186,19279,2
186,17412,1
186,4824,1
186,14942,2
186,16065,2
186,18804,1
186,5801,2
186,10174,2
186,9558,3
186,13656,1
186,14147,3
186,13142,1
186,19037,1
186,19457,1
186,9268,1
186,20152,1
186,21668,2
186,19370,2
186,17151,2
186,3915,1
186,20396,2
186,22380,1
187,18090,5
187,17639,4
187,14264,5
187,6474,6
187,5231,1
187,10860,1
187,8372,5
187,2882,4
187,10562,1
187,19702,5
187,2004,3
187,22173,1
187,2983,3
187,17121,6
187,5237,5
187,8204,3
187,7076,5
187,12300,5
187,1691,4
187,3775,1
187,13776,5
187,6207,6
187,11102,6
187,3423,6
187,5785,5
187,16779,3
187,3838,4
187,6823,1
187,11036,5
187,8910,3
187,6390,5
187,19803,1
187,16608,1
187,17740,4
187,13368,1
187,8843,4
187,5147,2
187,13053,6
187,4910,6
187,14628,5
187,4211,4
187,811,4
187,17065,7
187,6113,3
187,12512,5
187,13538,3
187,6320,1
187,9263,2
187,6914,5
187,12872,3
187,8712,5
187,2999,6
187,11324,4
187,16277,5
187,12593,9
187,2208,4
187,7602,5
187,2282,7
187,9706,3
187,4738,5
187,16972,3
187,5356,1
187,3732,1
187,3676,7
187,8395,6
187,12252,3
187,2378,6
187,3813,5
187,20876,3
187,7983,2
187,3891,2
187,3403,1
187,13645,4
187,17516,4
187,8985,3
187,19564,4
187,16203,4
187,11842,1
187,2488,6
187,12965,7
187,16975,4
187,15808,4
187,6933,4
187,17069,5
187,18393,1
187,12806,4
187,4874,5
187,22029,5
187,4963,4
187,5577,1
187,7374,3
187,11408,4
187,8687,5
187,1443,5
187,2058,4
187,19119,3
187,19368,1
187,11507,4
187,10978,5
187,1602,4
187,22445,5
187,20785,1
187,8417,4
187,20837,5
187,1882,1
187,7867,4
187,16128,2
187,18260,5
187,5848,5
187,21631,6
187,12457,4
187,20281,4
187,5923,1
187,3223,3
187,18992,4
187,13551,5
187,21771,1
187,15385,5
187,20049,5
187,21840,1
187,7473,1
187,8514,5
187,7212,2
187,4967,6
187,10648,1
187,9512,1
187,1377,6
187,1997,3
187,4109,2
187,8434,5
187,15957,4
187,20488,4
187,22435,3
191,18483,3
191,10865,4
191,14136,4
191,1483,6
191,3993,8
191,3769,2
191,12140,5
191,16814,5
191,1834,3
191,16016,7
191,6550,4
191,20522,5
191,6528,4
191,13750,6
191,4072,7
191,14483,8
191,10351,4
191,302,10
191,7090,3
191,9596,6
191,8621,4
191,4262,4
191,2089,7
191,18201,1
191,4319,5
191,18353,6
191,14118,9
195,18097,3
200,15576,3
200,11003,5
200,12210,9
200,15703,2
202,15259,3
202,17056,3
203,12894,3
203,18056,4
203,13825,3
203,212,9
203,6164,3
203,2664,11
203,8095,4
203,14257,4
203,20848,2
203,12001,2
203,1582,8
203,2482,5
203,12575,2
203,6892,6
209,7150,2
209,6539,2
210,6355,4
210,4484,7
210,4063,5
210,1193,5
210,15216,7
210,290,3
210,11362,7
210,3300,3
210,11611,7
210,17799,4
210,15362,8
210,14969,5
210,20217,5
210,11769,9
210,10672,6
210,4562,8
210,22403,3
210,14335,8
210,15644,8
210,9273,4
211,15240,3
211,511,3
212,20244,3
212,18910,3
212,6710,3
212,6892,6
212,5322,4
212,6112,2
212,4790,1
212,2181,2
212,3319,3
212,8119,4
212,8095,2
212,18056,3
212,6376,5
212,13652,2
212,8206,3
212,1967,2
212,19967,3
212,6047,5
212,2976,1
212,2344,1
212,19871,2
212,9769,3
212,20841,2
212,3156,2
212,6208,2
212,17396,6
212,2664,7
212,20848,2
212,16587,1
212,1582,6
212,20086,1
212,19198,8
212,12075,7
212,13976,2
212,10960,3
212,9915,3
212,7776,4
212,10306,3
212,4636,4
212,1236,1
212,20036,6
212,21592,3
212,15606,3
212,2808,1
212,12786,2
212,16184,9
212,9183,2
212,4819,9
212,7511,2
212,2286,3
212,11747,3
212,21043,2
212,18325,3
212,8568,2
212,1422,4
212,21045,1
212,15178,4
212,11482,3
212,13814,4
212,7979,2
212,647,9
212,10788,2
212,12001,2
212,12882,2
212,4128,2
212,17594,2
212,13825,1
212,9277,3
212,15430,2
212,20108,2
212,12163,3
212,4236,3
212,13831,6
212,837,2
212,12361,3
212,12536,2
212,10284,2
212,16106,5
212,7369,2
212,3466,4
212,12894,4
212,6164,2
212,16998,8
212,14257,3
212,15182,3
212,12739,2
212,15547,1
212,19487,3
212,8956,1
212,365,1
212,19489,3
212,2753,5
212,16019,7
212,9181,4
212,14662,2
212,15714,7
212,12555,5
212,18072,3
212,8868,2
212,20729,2
212,14504,4
212,8099,7
212,20178,2
212,10730,2
212,16091,3
212,3489,3
212,10275,4
212,19936,5
212,8975,1
212,11011,2
212,1270,4
212,10616,2
212,7651,1
212,5581,2
212,2482,2
212,19083,2
212,20571,5
212,20158,3
216,3638,1
216,14471,1
216,15851,2
216,17340,3
216,21937,2
216,8292,3
216,20337,4
216,17056,2
216,7990,3
216,22100,2
216,20797,2
216,7860,2
216,369,2
216,13866,3
216,9554,2
216,362,1
216,16427,2
216,16086,2
216,3395,4
216,5821,2
216,21491,2
216,21907,2
216,3070,3
216,6049,3
216,9363,3
216,7357,2
216,22110,2
216,16081,4
216,21498,3
216,22065,2
216,3160,1
216,3762,3
216,6555,2
216,7585,3
216,15878,4
216,10626,1
216,16001,4
217,220,4
217,1312,1
217,1948,2
217,2408,5
217,2989,5
217,4800,2
217,8373,1
217,6502,3
217,13516,2
217,12966,3
217,10226,3
217,15634,3
217,10734,1
217,12650,3
217,20712,1
217,18102,3
217,10801,1
217,14861,2
217,17264,1
217,12979,3
217,19132,5
217,15143,3
220,17358,3
220,1326,3
220,5596,3
220,18938,6
225,6675,4
225,16022,2
225,5546,2
225,20415,10
226,17337,3
226,9143,3
226,2056,6
226,1786,4
226,1929,2
226,12484,3
226,14025,3
226,6558,5
229,7049,3
229,10024,2
229,1499,4
229,16932,3
229,6999,4
229,10712,2
229,16214,6
229,18064,2
229,5854,2
229,12393,3
229,4398,1
229,17092,3
229,13946,3
229,6695,2
230,13866,2
230,18819,3
230,17340,3
230,2278,1
230,22100,1
230,21491,3
230,3982,1
230,9554,2
230,16427,1
230,17437,1
230,5821,3
230,8271,3
230,19891,1
230,3070,2
230,9363,3
230,3878,2
230,7357,2
230,22110,2
230,8893,3
230,1953,2
230,3160,2
230,4720,3
230,16805,2
230,16001,3
231,4135,3
231,14985,9
231,9425,3
231,10729,5
231,920,2
233,5035,8
233,15505,8
233,3576,9
233,9938,2
233,16754,2
233,1211,2
233,3449,7
233,19020,7
233,19495,9
233,8439,4
233,21301,6
233,13798,4
234,21373,3
234,18006,1
234,21272,3
234,18636,2
234,21035,3
234,10076,2
234,7892,5
234,17438,4
234,4548,3
234,11423,2
234,22450,1
234,20180,4
234,8270,1
239,14311,3
239,21197,2
239,3888,3
239,12617,4
239,17237,2
239,20617,2
239,1621,3
239,3741,2
239,17087,3
239,6050,3
241,3330,4
241,9174,4
241,12010,2
241,15191,6
241,12200,2
241,16885,8
244,6358,7
244,18612,5
244,15514,3
246,12472,2
246,12199,3
246,2754,7
246,10443,5
246,12742,2
246,15399,5
246,19344,8
246,22002,2
246,5967,2
246,2468,4
246,13273,3
246,14503,4
246,7646,4
246,2558,2
246,14435,11
246,4767,2
246,1872,7
246,7218,4
246,14531,5
246,18819,4
246,3529,4
247,17405,1
247,1878,1
256,1303,8
256,12106,6
256,17056,2
257,2575,5
257,12032,5
257,18155,2
257,14799,6
257,956,2
257,14364,2
257,1459,4
257,18425,4
257,13267,3
257,16232,4
257,11149,2
257,17110,4
257,17685,3
257,6818,5
257,10664,4
257,4966,3
257,14168,1
257,21921,3
257,20542,3
257,11172,3
257,12286,3
257,18198,3
257,19906,4
257,8817,3
257,12308,3
257,9400,4
258,11042,4
258,5040,2
258,6663,3
261,963,1
261,16137,2
261,16132,2
263,14236,4
264,6312,8
264,18452,7
264,8446,6
264,14676,5
264,10938,13
265,12795,4
265,7334,5
265,12194,4
267,22048,14
267,21190,4
267,11333,1
267,267,24
267,12856,9
267,9539,5
267,11357,2
267,3709,2
268,12672,3
268,10744,3
269,7280,4
272,413,8
272,994,2
274,18928,4
274,14907,6
275,2390,4
275,8717,3
281,11956,2
281,9765,2
281,1642,1
281,11447,2
281,18186,2
281,5950,3
281,6654,3
281,15062,1
281,18070,2
282,11264,7
283,2431,3
283,3869,5
283,17475,4
283,13667,3
283,2134,3
283,5835,3
283,9033,3
283,17158,2
283,17893,3
283,22198,3
283,16816,1
283,10894,3
283,1008,3
283,9462,2
283,6653,2
283,1850,5
283,12166,4
283,20710,2
283,7400,3
283,1318,1
283,19873,2
283,14672,3
283,5369,2
283,6533,3
283,3610,3
283,14239,4
283,502,2
283,2019,1
283,2131,3
283,12820,3
283,4357,2
283,11909,4
284,4021,5
290,13258,3
290,14969,3
290,2437,3
290,9583,3
290,18470,3
290,5777,3
290,13265,8
290,5591,3
290,18190,3
290,2104,3
290,7666,3
290,4542,4
290,3921,5
290,16777,4
290,13966,3
290,4377,3
290,20167,6
290,722,7
290,15512,6
290,5066,3
290,15552,3
290,10672,6
290,10673,10
290,17659,5
290,8920,3
290,11611,9
290,21763,4
290,21546,5
290,15524,5
290,4569,5
290,19646,3
290,12624,5
290,17860,6
290,9273,3
290,16455,3
290,11769,2
290,7459,7
290,7356,8
290,4229,5
290,16095,8
290,562,5
290,1077,7
290,12424,4
290,18782,4
290,6503,5
290,12645,2
290,3903,6
290,15199,7
290,20019,5
290,15362,4
290,11410,4
290,5470,6
290,1089,3
290,14148,6
290,13484,5
290,14015,3
290,14485,3
290,6355,5
290,19679,4
290,13151,10
290,10370,5
290,10062,5
290,20217,3
290,4425,6
290,21614,5
290,18991,6
290,15215,4
290,15216,4
290,3274,3
290,4562,6
290,9548,3
290,8277,2
290,6886,3
290,14720,5
290,13072,2
290,14335,6
290,16505,5
290,14116,3
290,14117,4
290,13517,5
290,6714,4
290,10399,4
290,18651,7
290,6852,5
290,17038,4
290,7458,8
290,6046,5
290,9519,6
290,9515,3
290,2545,5
290,6899,6
290,21646,5
290,15973,5
290,14095,4
290,12693,2
290,8130,4
290,17048,3
290,5144,4
290,8304,4
290,2023,5
290,2374,2
290,2710,8
290,4484,7
290,8324,7
290,14917,4
290,6396,8
290,20950,3
290,19204,5
290,22403,2
290,3084,6
290,17750,6
290,21814,1
290,9354,4
290,15658,2
290,6922,2
290,3868,5
290,21319,6
290,7760,9
290,11140,3
290,1692,6
290,20798,3
290,10282,2
290,12186,5
290,4000,3
290,17782,2
290,14743,3
290,10105,7
290,11160,6
290,11768,3
290,15470,4
290,2403,2
290,15644,5
290,4063,4
290,1193,3
290,22242,4
290,18882,4
290,3300,3
290,17799,4
290,2238,6
290,17452,5
290,8185,5
290,12036,6
290,12037,5
290,5571,3
290,2025,2
290,18893,3
290,18534,3
290,22261,6
290,21113,3
290,12915,7
290,6942,3
290,702,6
290,16478,2
291,18056,2
291,14257,3
293,713,4
293,14247,1
293,16147,7
295,18427,1
297,1402,8
297,20786,2
297,18713,5
297,11404,2
297,18349,8
297,14845,4
297,10044,8
297,5850,7
298,13012,10
298,17459,1
298,16387,4
298,6554,4
298,20218,7
298,5819,4
298,7067,5
298,7189,5
298,12342,11
298,10600,1
298,6391,6
298,22256,2
298,2787,7
298,16845,5
298,11692,7
298,21281,4
302,4072,6
302,1234,11
302,16016,7
302,3993,6
302,7090,4
302,9596,7
302,16814,2
302,1483,6
302,10351,7
302,6550,3
302,20522,4
304,19781,1
304,11535,2
304,1480,2
304,16463,3
304,6156,2
304,22222,3
304,2771,4
304,6795,4
304,11274,3
304,15231,1
304,1866,6
304,15432,2
304,11228,1
304,22085,8
304,16348,4
304,2058,1
304,4497,2
304,5335,2
304,5600,1
304,10362,1
304,11641,5
304,22305,4
304,8411,2
304,2455,3
304,1936,1
304,17179,2
304,5248,3
304,5663,3
304,18525,1
304,11786,2
304,15784,2
304,17037,2
304,18945,3
304,15652,3
304,15017,5
304,14891,2
304,15653,4
304,19033,1
304,3398,4
304,14862,2
304,22062,2
304,4473,3
304,12047,3
304,4397,2
311,22389,2
311,21517,2
311,19583,3
311,16453,2
311,4325,2
311,9321,8
311,15021,1
311,12444,4
311,9512,7
311,19803,3
311,3648,3
311,13235,2
311,17779,1
314,6675,2
314,9253,4
316,5375,2
316,3873,3
317,16592,1
317,6868,1
317,17674,1
317,11986,2
317,601,1
321,2043,2
321,21226,3
321,10560,2
321,15537,1
321,14282,1
321,9816,1
321,10043,1
321,11969,2
321,9368,2
321,6634,2
321,20499,1
321,7570,2
321,11179,1
321,13232,3
321,9255,3
321,12738,2
321,6302,2
321,7050,2
321,19053,1
321,7816,2
321,1275,2
321,1037,2
321,2746,3
321,1796,2
321,4549,3
321,14529,1
321,18561,2
321,1668,1
321,2455,1
321,16375,3
321,21803,1
321,2680,2
321,10500,1
321,21860,3
321,7645,2
321,2764,1
321,1763,1
321,6646,3
321,10510,2
321,19416,3
321,9149,1
321,2610,2
321,22025,2
321,5501,4
322,21491,5
322,5503,4
322,15523,4
322,3070,4
322,8893,4
322,9645,5
332,8119,6
332,18386,5
332,14930,4
332,13067,4
332,18612,5
332,5049,6
334,5503,2
334,18819,3
334,13193,3
334,12116,3
334,9678,1
334,17056,4
334,19862,2
334,11719,4
334,16086,3
334,3878,2
334,16639,2
334,21491,4
334,3951,2
334,17308,3
334,3070,3
334,7670,2
334,8893,3
334,9645,5
334,15475,3
334,4720,4
334,21078,1
334,3767,4
334,21962,3
334,8351,3
342,15686,2
342,20710,4
342,7400,3
342,2723,5
342,2134,5
342,738,1
342,18648,1
342,7845,2
342,7239,1
342,5678,7
342,417,3
342,6030,2
342,4357,3
342,16133,3
344,22188,6
344,9646,2
353,8119,3
353,18612,3
354,21869,1
357,16137,2
360,7615,4
360,6357,8
360,17144,7
360,20000,6
360,10855,4
360,1939,3
361,3938,4
361,12066,9
361,5123,5
361,9279,9
361,16511,8
361,9485,6
361,8987,5
361,3816,4
361,9744,10
361,21510,6
361,5945,8
361,9227,8
361,1111,10
361,20163,6
361,15466,2
361,12695,5
361,21110,3
361,18201,7
361,8091,11
361,16464,7
361,4439,6
361,15645,3
362,17495,3
362,21491,2
362,21907,3
362,17056,2
362,15127,2
362,4871,2
362,16086,2
362,4687,2
362,7549,3
362,20857,1
362,8351,3
364,2613,2
364,1293,1
364,15494,2
364,448,3
364,12057,4
364,3415,4
364,10355,1
364,4891,2
364,11228,2
364,7868,2
364,15865,1
364,5054,2
364,2109,1
364,1490,3
364,3234,1
364,19711,4
364,14530,1
364,2709,4
364,10061,2
364,14789,2
364,8132,3
364,17932,2
364,5956,2
364,3517,2
364,3622,4
364,18029,2
364,7249,2
364,13806,3
364,6136,2
364,17852,2
364,21577,2
364,21289,3
364,18012,2
364,10873,1
364,11053,2
364,8236,2
364,9505,1
364,18750,1
364,14293,2
364,8318,2
364,18219,4
364,5991,3
364,3357,2
364,12525,2
364,6070,2
364,16099,2
364,18227,2
364,15612,2
364,9628,2
364,14827,1
364,11666,2
364,4066,3
364,14385,1
364,18328,1
364,11853,3
364,12012,2
364,16079,2
364,10181,2
364,4592,3
364,17758,1
364,21731,3
364,3857,2
364,760,4
364,17787,1
364,7454,1
364,18874,2
364,5542,1
364,1121,2
364,20525,1
364,7529,1
364,13141,2
364,3563,3
364,21160,2
364,1705,1
364,18729,3
364,20995,1
364,3697,2
364,11701,1
364,14588,1
364,11369,2
364,4342,1
364,4117,2
364,14592,3
364,15214,2
364,15947,2
364,10368,3
364,15134,1
364,20412,3
364,4177,2
364,7060,2
364,6699,3
364,20565,1
364,9593,2
364,16485,1
364,14335,2
364,20237,2
364,17813,2
364,2961,2
364,12086,1
364,14103,2
364,19779,1
364,20147,1
364,1559,1
364,8470,2
365,9156,3
365,9580,2
365,19935,1
365,10335,1
365,2335,4
365,12889,1
365,20092,3
365,8095,3
365,1541,3
365,3739,4
365,12710,2
365,17727,2
365,13695,3
365,4893,3
365,9918,3
365,8189,4
365,3307,4
365,6868,1
365,6534,1
365,22137,3
365,16106,2
365,11776,3
365,6211,4
365,15341,4
365,20086,3
365,20677,3
365,21592,3
365,1270,2
365,19887,3
365,3728,2
365,12075,2
365,4597,2
365,3963,3
365,443,3
365,5916,1
365,19028,3
365,11986,4
365,15553,3
365,13286,2
365,10784,2
365,20036,2
365,14408,3
365,16127,4
365,8099,4
365,19937,2
365,3874,3
365,5227,4
365,4819,1
365,19805,3
365,11475,1
365,19607,2
365,16368,3
365,12463,2
365,8106,3
365,21046,2
365,21922,3
365,2664,2
365,22342,2
365,12171,3
365,3494,3
365,2042,1
365,7393,3
365,22319,3
365,22162,1
365,20571,3
365,2252,2
365,20158,3
366,19635,4
366,20113,3
366,10922,8
366,13729,3
366,8678,3
366,16502,1
367,3862,3
367,13555,4
